,ds,y,src
3024,1947-02-01,-0.08,training
2076,1947-03-01,0.05,training
2930,1947-04-01,0.04,training
2831,1947-05-01,-0.06,training
3048,1947-06-01,0.0,training
770,1947-07-01,-0.06,training
184,1947-08-01,-0.08,training
3028,1947-09-01,-0.14,training
1750,1947-10-01,0.06,training
2881,1947-11-01,-0.01,training
3093,1947-12-01,-0.18,training
544,1948-01-01,0.05,training
397,1948-02-01,-0.13,training
1224,1948-03-01,-0.23,training
2670,1948-04-01,-0.09,training
1341,1948-05-01,0.08,training
2675,1948-06-01,-0.05,training
2135,1948-07-01,-0.13,training
2789,1948-08-01,-0.1,training
2084,1948-09-01,-0.1,training
2431,1948-10-01,-0.07,training
1769,1948-11-01,-0.08,training
2996,1948-12-01,-0.23,training
1527,1949-01-01,0.09,training
